id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4688422,Rental unit in Manly · ★4.71 · 2 bedrooms · 3 beds · 1.5 baths,13396297,Anne,,Manly,-33.8056,151.28433,Entire home/apt,300,1,36,28/1/2023,0.35,1,31,13,PID-STRA-26284
39681254,Rental unit in Manly · ★5.0 · 1 bedroom · 1 bed · 1 bath,25316226,Joel,,Manly,-33.80512,151.28907,Entire home/apt,110,90,3,12/12/2019,0.07,1,0,0,
22314790,Rental unit in Manly · 1 bedroom · 2 beds · 1 bath,48897764,Simon,,Manly,-33.79627,151.28476,Entire home/apt,190,90,1,6/1/2018,0.02,1,0,0,
39446599,Guesthouse in Eastwood · 1 bedroom · 1 bed · 1 bath,152329169,Ebrahim,,Ryde,-33.78597,151.09255,Entire home/apt,70,90,0,,,1,0,0,PID-STRA-26166
43629106,Rental unit in Manly · ★5.0 · 2 bedrooms · 4 beds · 2 baths,348372472,Jo,,Manly,-33.791103,151.28688,Entire home/apt,742,2,27,25/3/2023,0.85,1,282,10,PID-STRA-10013
43628597,Rental unit in Manly · 3 bedrooms · 3 beds · 2 baths,297977860,Matthew,,Manly,-33.80209,151.29462,Entire home/apt,956,2,1,4/10/2020,0.03,6,0,0,PID-STRA-7397-2
43619457,Rental unit in Manly · 3 bedrooms · 3 beds · 2 baths,26816558,Gemma,,Manly,-33.79515,151.28498,Entire home/apt,560,90,0,,,2,0,0,
8.92849E+17,Cabin in Queenscliff · ★New · Studio · 1 bed · 1 bath,514356697,Justine,,Manly,-33.78488,151.28432,Entire home/apt,249,2,0,,,1,239,0,PID-STRA-51614
44067842,Home in Fairlight · 3 bedrooms · 2 beds · 2.5 baths,4170245,Irmke,,Manly,-33.79209,151.27732,Entire home/apt,234,3,0,,,3,54,0,PID-STRA-45916
8.45977E+17,Rental unit in West Ryde · ★4.67 · 1 bedroom · 1 bed · 1 bath,4860812,Kirrili,,Ryde,-33.81324,151.08791,Entire home/apt,120,1,9,31/5/2023,3.65,1,118,9,PID-STRA-49889
871059,Rental unit in Mosman · ★4.65 · 2 bedrooms · 4 beds · 1 bath,1624979,James,,Mosman,-33.82221,151.24368,Entire home/apt,256,1,288,21/5/2023,2.28,1,135,53,PID-STRA-17912
873817,Guest suite in Rozelle · ★4.86 · 1 bedroom · 2 beds · 1 bath,2198824,Skye,,Leichhardt,-33.86449,151.17325,Entire home/apt,269,4,71,15/3/2023,0.6,2,253,3,PID-STRA-13935
360141,Guest suite in Marrickville · ★4.92 · 1 bedroom · 2 beds · 1 bath,1821747,Scott,,Marrickville,-33.91701,151.15206,Entire home/apt,111,7,179,21/5/2023,1.31,1,20,15,PID-STRA-1700
363237,Rental unit in Summer Hill · ★4.67 · 1 bedroom · 1 bed · 1 bath,1835730,Mina,,Ashfield,-33.88749,151.14016,Entire home/apt,85,90,3,31/10/2014,0.03,1,0,0,
11156,Rental unit in Potts Point · ★4.59 · 1 bedroom · 1 bed · 1 shared bath,40855,Colleen,,Sydney,-33.86767,151.22497,Private room,65,90,195,13/3/2020,1.19,1,364,0,
15253,Condo in Darlinghurst · ★4.50 · 1 bedroom · 1 bed · 1 private bath,59850,Morag,,Sydney,-33.87964,151.2168,Private room,107,1,499,2/6/2023,3.63,2,181,85,
877757,Rental unit in Sans Souci · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,4638388,Michelle,,Rockdale,-33.98874,151.14479,Private room,40,90,137,1/10/2018,1.09,2,0,0,
44545,Loft in Darlinghurst · ★4.87 · 1 bedroom · 1 bed · 1 bath,112237,Atari,,Sydney,-33.87888,151.21439,Entire home/apt,130,90,76,3/1/2020,0.49,1,0,0,
58506,Guest suite in Mosman · ★4.60 · 1 bedroom · 3 beds · 1 bath,279955,John,,Mosman,-33.81748,151.23484,Entire home/apt,170,2,387,2/6/2023,2.56,1,177,56,PID-STRA-2810
363282,Rental unit in Elizabeth Bay · ★4.81 · 1 bedroom · 1 bed · 1 bath,1835060,Sarah,,Sydney,-33.87112,151.22452,Entire home/apt,300,2,101,8/5/2023,0.76,1,360,18,PID-STRA-8581
880594,Rental unit in Balgowlah · ★4.81 · 1 bedroom · 1 bed · 1 bath,4657452,Alison,,Manly,-33.79284,151.25695,Entire home/apt,160,2,76,7/4/2023,0.68,1,52,12,PID-STRA-6963
366856,Rental unit in Bondi · ★4.49 · 1 bedroom · 1 bed · 1 bath,1852102,Ann And Mad,,Waverley,-33.89465,151.26372,Entire home/apt,183,2,161,21/5/2023,1.21,3,217,27,PID-STRA-6434-2
366857,Rental unit in Bondi · ★4.63 · 1 bedroom · 1 bed · 1 bath,1852102,Ann And Mad,,Waverley,-33.89247,151.26267,Entire home/apt,164,2,145,23/4/2023,1.28,3,238,22,PID-STRA-6430
880940,Guest suite in Hunters Hill · ★4.91 · 1 bedroom · 1 bed · 1 private bath,4660343,Sue,,Hunters Hill,-33.83066,151.13443,Private room,128,2,151,3/6/2023,1.2,1,297,27,
61721,Rental unit in Bondi Beach · ★4.42 · 2 bedrooms · 2 beds · 1 bath,299170,Eilish,,Waverley,-33.88905,151.27653,Entire home/apt,245,90,33,7/4/2021,0.22,1,309,0,
883062,Loft in Dover Heights · ★4.95 · 1 bedroom · 1 bed · 1 private bath,4674300,Rick,,Waverley,-33.87812,151.28016,Private room,149,3,102,24/4/2023,0.88,1,146,28,PID-STRA-10235
